DATE,NYGDPPCAPKDWLD
1960-01-01,3583.63127410271
1961-01-01,3673.41275827473
1962-01-01,3801.86367834945
1963-01-01,3918.1402134408
1964-01-01,4091.48076326991
1965-01-01,4232.45318060117
1966-01-01,4380.06169869656
1967-01-01,4471.3972476976
1968-01-01,4643.73969727966
1969-01-01,4814.14300686001
1970-01-01,4888.12924927866
1971-01-01,4991.36119545819
1972-01-01,5167.61408778624
1973-01-01,5393.15562229833
1974-01-01,5387.7807061475
1975-01-01,5321.27441970624
1976-01-01,5503.83768786633
1977-01-01,5629.57559852101
1978-01-01,5757.5334982571
1979-01-01,5894.99230095107
1980-01-01,5898.3412027324
1981-01-01,5907.39289289414
1982-01-01,5826.35894484172
1983-01-01,5873.46414224071
1984-01-01,6042.85743091799
1985-01-01,6159.39284792944
1986-01-01,6262.03693305025
1987-01-01,6382.49455418925
1988-01-01,6563.44942619331
1989-01-01,6693.52014417531
1990-01-01,6771.66846478108
1991-01-01,6757.97625508698
1992-01-01,6790.45763518255
1993-01-01,6806.20241261963
1994-01-01,6924.46929594142
1995-01-01,7032.85317826392
1996-01-01,7182.60037137436
1997-01-01,7355.40999186355
1998-01-01,7458.79558972609
1999-01-01,7618.73745405616
2000-01-01,7856.9080161637
2001-01-01,7913.69661683731
2002-01-01,7996.73456666713
2003-01-01,8147.52927119197
2004-01-01,8406.13478317561
2005-01-01,8640.27649999174
2006-01-01,8918.2793765016
2007-01-01,9201.07447399038
2008-01-01,9269.91378989524
2009-01-01,9038.96246810819
2010-01-01,9332.27661848437
2011-01-01,9531.9128498077
2012-01-01,9674.58226273714
2013-01-01,9835.85318318406
2014-01-01,10025.1883630673
2015-01-01,10223.0039564685
2016-01-01,10388.7157085116
2017-01-01,10619.1107668311
2018-01-01,10843.4185609663
2019-01-01,11003.993984623
2020-01-01,10520.3453939774
