DATE,WORLD GDP
2011-01-01,9531.9128498077
2012-01-01,9674.58226273714
2013-01-01,9835.85318318406
2014-01-01,10025.1883630673
2015-01-01,10223.0039564685
2016-01-01,10388.7157085116
2017-01-01,10619.1107668311
2018-01-01,10843.4185609663
2019-01-01,11003.993984623
2020-01-01,10520.3453939774
