Date,Adj Close
1995-01-03,743.580017
1995-01-04,745.840027
1995-01-05,745.659973
1995-01-06,749.690002
1995-01-09,752.090027
1995-01-10,756.52002
1995-01-11,755.73999
1995-01-12,756.51001
1995-01-13,762.159973
1995-01-16,768.159973
1995-01-17,772.140015
1995-01-18,772.380005
1995-01-19,768.549988
1995-01-20,762.049988
1995-01-23,759.51001
1995-01-24,763.200012
1995-01-25,760.97998
1995-01-26,757.559998
1995-01-27,758.909973
1995-01-30,751.830017
1995-01-31,755.200012
1995-02-01,758.309998
1995-02-02,763.640015
1995-02-03,772.059998
1995-02-06,778.849976
1995-02-07,778.969971
1995-02-08,783.77002
1995-02-09,785.440002
1995-02-10,790.429993
1995-02-13,789.419983
1995-02-14,790.619995
1995-02-15,795.630005
1995-02-16,793.309998
1995-02-17,786.969971
1995-02-21,784.619995
1995-02-22,787.929993
1995-02-23,791.349976
1995-02-24,791.080017
1995-02-27,784.5
1995-02-28,793.72998
1995-03-01,791.869995
1995-03-02,793.679993
1995-03-03,798.789978
1995-03-06,797.77002
1995-03-07,791.330017
1995-03-08,795.809998
1995-03-09,796.23999
1995-03-10,802.219971
1995-03-13,802.309998
1995-03-14,808.23999
1995-03-15,807.380005
1995-03-16,809.340027
1995-03-17,808.330017
1995-03-20,810.48999
1995-03-21,809.780029
1995-03-22,809.099976
1995-03-23,811.390015
1995-03-24,818.659973
1995-03-27,822.630005
1995-03-28,826.140015
1995-03-29,819.159973
1995-03-30,816.859985
1995-03-31,817.210022
1995-04-03,818.049988
1995-04-04,813.719971
1995-04-05,816.320007
1995-04-06,813.799988
1995-04-07,814.690002
1995-04-10,821.26001
1995-04-11,824.830017
1995-04-12,828.530029
1995-04-13,832.640015
1995-04-17,830.820007
1995-04-18,825.73999
1995-04-19,816.549988
1995-04-20,819.01001
1995-04-21,823.440002
1995-04-24,828.909973
1995-04-25,831.280029
1995-04-26,836.909973
1995-04-27,840.950012
1995-04-28,843.97998
1995-05-01,841.630005
1995-05-02,841.789978
1995-05-03,850.26001
1995-05-04,846.75
1995-05-05,843.530029
1995-05-08,849.289978
