,Date,prices,market_caps,total_volumes
0,1644278400000,43910.929986443094,833392518214.8341,24171856714.475758
1,1644364800000,44184.447511676175,837406846076.2306,29024977264.932137
2,1644451200000,44383.88805541707,841339973338.8694,19780565063.098923
3,1644537600000,43628.13953235228,826942197610.3904,27877618433.98099
4,1644624000000,42445.38876793804,803706779791.898,23279080009.72499
5,1644682445000,42461.56688604341,802941712750.9277,18925261869.78279
