DATE,US GDP
1995-01-01,41794.19221265
1996-01-01,42869.2471695732
1997-01-01,44212.1670413743
1998-01-01,45658.1365976205
1999-01-01,47282.2846760321
2000-01-01,48689.0312898553
2001-01-01,48690.8079408159
2002-01-01,49081.3587876497
2003-01-01,50053.624104102
2004-01-01,51476.4887860738
2005-01-01,52796.089816261
