Date,Open,High,Low,Close,Adj Close,Volume
1995-01-03,751.309998,751.309998,743.530029,743.580017,743.580017,248750000
1995-01-04,744.770020,746.419983,740.469971,745.840027,745.840027,290350000
1995-01-05,746.869995,748.500000,745.130005,745.659973,745.659973,297510000
1995-01-06,746.270020,750.729980,745.760010,749.690002,749.690002,312920000
1995-01-09,750.190002,752.840027,750.099976,752.090027,752.090027,267090000
1995-01-10,754.270020,759.219971,754.270020,756.520020,756.520020,353510000
1995-01-11,758.140015,760.049988,751.700012,755.739990,755.739990,329520000
1995-01-12,755.659973,757.049988,754.650024,756.510010,756.510010,302230000
1995-01-13,758.359985,762.320007,757.280029,762.159973,762.159973,313630000
1995-01-16,762.299988,769.130005,762.190002,768.159973,768.159973,301370000
1995-01-17,769.169983,772.159973,768.400024,772.140015,772.140015,337330000
1995-01-18,773.010010,774.309998,769.179993,772.380005,772.380005,348330000
1995-01-19,772.340027,772.340027,768.320007,768.549988,768.549988,331830000
1995-01-20,767.989990,768.119995,759.320007,762.049988,762.049988,342170000
1995-01-23,759.320007,759.580017,753.809998,759.510010,759.510010,276420000
1995-01-24,760.520020,763.330017,759.820007,763.200012,763.200012,298330000
1995-01-25,759.690002,763.340027,757.190002,760.979980,760.979980,313100000
1995-01-26,761.049988,762.320007,757.559998,757.559998,757.559998,295060000
1995-01-27,758.859985,760.419983,756.849976,758.909973,758.909973,309380000
1995-01-30,759.630005,760.570007,751.489990,751.830017,751.830017,259470000
1995-01-31,752.849976,755.799988,751.049988,755.200012,755.200012,301430000
1995-02-01,756.679993,762.330017,756.679993,758.309998,758.309998,309930000
1995-02-02,758.159973,763.659973,758.159973,763.640015,763.640015,294260000
1995-02-03,766.510010,773.940002,766.510010,772.059998,772.059998,379850000
1995-02-06,772.820007,779.109985,772.820007,778.849976,778.849976,298480000
1995-02-07,779.789978,780.929993,776.969971,778.969971,778.969971,320970000
1995-02-08,780.190002,784.030029,779.229980,783.770020,783.770020,349420000
1995-02-09,785.039978,787.890015,784.969971,785.440002,785.440002,381420000
1995-02-10,786.409973,790.820007,786.409973,790.429993,790.429993,359380000
1995-02-13,789.700012,792.090027,788.719971,789.419983,789.419983,300360000
1995-02-14,790.140015,791.500000,788.669983,790.619995,790.619995,345250000
1995-02-15,790.760010,795.630005,789.739990,795.630005,795.630005,382290000
1995-02-16,796.020020,796.020020,790.979980,793.309998,793.309998,343990000
1995-02-17,791.989990,791.989990,786.830017,786.969971,786.969971,294510000
1995-02-21,787.729980,788.250000,784.150024,784.619995,784.619995,272620000
1995-02-22,783.960022,788.260010,783.510010,787.929993,787.929993,302200000
1995-02-23,789.260010,794.500000,789.260010,791.349976,791.349976,356980000
1995-02-24,790.799988,791.799988,787.119995,791.080017,791.080017,318540000
1995-02-27,789.549988,790.809998,783.729980,784.500000,784.500000,272260000
1995-02-28,785.530029,794.010010,784.719971,793.729980,793.729980,323350000
1995-03-01,794.330017,795.289978,791.869995,791.869995,791.869995,336510000
1995-03-02,792.400024,793.690002,790.719971,793.679993,793.679993,297340000
1995-03-03,793.210022,798.799988,792.229980,798.789978,798.789978,313590000
1995-03-06,796.530029,797.789978,791.700012,797.770020,797.770020,265110000
1995-03-07,797.869995,798.309998,790.349976,791.330017,791.330017,336760000
1995-03-08,793.049988,795.809998,791.510010,795.809998,795.809998,313150000
1995-03-09,796.479980,797.929993,793.320007,796.239990,796.239990,319470000
1995-03-10,795.960022,802.219971,795.780029,802.219971,802.219971,330320000
1995-03-13,802.219971,804.619995,801.369995,802.309998,802.309998,281070000
1995-03-14,804.460022,809.179993,804.460022,808.239990,808.239990,347170000
1995-03-15,807.979980,808.690002,804.840027,807.380005,807.380005,335510000
1995-03-16,807.179993,809.590027,806.799988,809.340027,809.340027,340150000
1995-03-17,811.030029,811.229980,807.340027,808.330017,808.330017,315350000
1995-03-20,808.349976,810.659973,807.400024,810.489990,810.489990,277410000
1995-03-21,811.059998,814.210022,808.880005,809.780029,809.780029,336150000
1995-03-22,808.650024,809.429993,806.700012,809.099976,809.099976,315140000
1995-03-23,809.299988,813.330017,808.900024,811.390015,811.390015,350790000
1995-03-24,812.960022,818.669983,812.869995,818.659973,818.659973,402890000
1995-03-27,817.880005,822.659973,817.289978,822.630005,822.630005,315230000
1995-03-28,822.909973,826.169983,821.570007,826.140015,826.140015,350240000
1995-03-29,826.099976,829.919983,817.239990,819.159973,819.159973,410380000
1995-03-30,820.650024,822.239990,811.229980,816.859985,816.859985,363320000
1995-03-31,813.239990,817.229980,806.500000,817.210022,817.210022,347850000
1995-04-03,816.059998,818.280029,812.250000,818.049988,818.049988,273920000
1995-04-04,817.059998,820.479980,813.580017,813.719971,813.719971,365640000
1995-04-05,813.679993,816.320007,810.890015,816.320007,816.320007,348890000
1995-04-06,816.929993,818.159973,813.520020,813.799988,813.799988,348320000
1995-04-07,814.840027,816.190002,811.559998,814.690002,814.690002,331460000
1995-04-10,814.440002,821.359985,813.900024,821.260010,821.260010,300920000
1995-04-11,824.119995,825.739990,821.690002,824.830017,824.830017,355650000
1995-04-12,825.489990,828.559998,823.690002,828.530029,828.530029,345180000
1995-04-13,829.059998,832.900024,828.859985,832.640015,832.640015,359830000
1995-04-17,835.150024,839.500000,829.909973,830.820007,830.820007,366500000
1995-04-18,833.369995,834.450012,825.010010,825.739990,825.739990,377080000
1995-04-19,825.070007,825.229980,812.750000,816.549988,816.549988,453960000
1995-04-20,817.890015,819.099976,813.950012,819.010010,819.010010,408860000
1995-04-21,821.390015,823.669983,820.429993,823.440002,823.440002,394510000
1995-04-24,823.250000,829.479980,821.530029,828.909973,828.909973,318700000
1995-04-25,829.619995,832.070007,828.690002,831.280029,831.280029,375490000
1995-04-26,830.469971,836.909973,829.169983,836.909973,836.909973,392410000
1995-04-27,837.150024,842.619995,837.150024,840.950012,840.950012,417550000
1995-04-28,841.659973,844.419983,837.450012,843.979980,843.979980,375830000
1995-05-01,844.719971,846.419983,841.630005,841.630005,841.630005,315660000
1995-05-02,841.929993,842.820007,839.429993,841.789978,841.789978,348490000
1995-05-03,842.750000,850.270020,842.750000,850.260010,850.260010,398810000
1995-05-04,851.500000,856.789978,846.070007,846.750000,846.750000,421000000
1995-05-05,849.070007,850.789978,842.570007,843.530029,843.530029,331890000
1995-05-08,843.479980,849.840027,842.760010,849.289978,849.289978,320160000
1995-05-09,850.419983,851.890015,845.359985,848.169983,848.169983,381750000
1995-05-10,850.479980,851.989990,845.750000,847.619995,847.619995,380030000
1995-05-11,847.119995,853.840027,846.130005,853.830017,853.830017,390710000
1995-05-12,853.739990,859.880005,852.520020,858.940002,858.940002,404570000
1995-05-15,859.739990,863.390015,857.979980,863.059998,863.059998,350040000
1995-05-16,863.390015,868.859985,862.559998,868.250000,868.250000,382100000
1995-05-17,869.500000,874.510010,869.500000,871.929993,871.929993,404110000
1995-05-18,872.530029,874.440002,864.049988,864.059998,864.059998,388180000
1995-05-19,862.280029,864.830017,858.659973,864.570007,864.570007,337190000
1995-05-22,865.570007,871.580017,865.419983,871.179993,871.179993,344140000
1995-05-23,872.010010,879.659973,872.010010,879.640015,879.640015,414920000
1995-05-24,882.900024,885.919983,875.989990,877.979980,877.979980,439210000
1995-05-25,877.739990,878.760010,871.650024,877.320007,877.320007,381560000
1995-05-26,876.260010,876.260010,870.039978,871.869995,871.869995,302720000
1995-05-30,872.770020,873.700012,857.739990,858.700012,858.700012,320360000
1995-05-31,859.169983,864.580017,851.719971,864.580017,864.580017,376150000
1995-06-01,865.669983,870.210022,864.210022,868.820007,868.820007,354420000
1995-06-02,867.119995,875.119995,863.840027,872.969971,872.969971,351970000
1995-06-05,875.250000,884.179993,875.250000,882.849976,882.849976,372350000
1995-06-06,882.830017,885.830017,879.400024,879.400024,879.400024,387500000
1995-06-07,880.409973,883.059998,878.320007,881.580017,881.580017,378420000
1995-06-08,882.179993,886.299988,882.179993,886.130005,886.130005,378560000
1995-06-09,885.719971,885.789978,880.479980,884.380005,884.380005,382600000
1995-06-12,885.549988,889.330017,885.549988,887.979980,887.979980,352760000
1995-06-13,890.510010,894.229980,890.049988,894.229980,894.229980,402980000
1995-06-14,892.260010,896.280029,891.020020,895.719971,895.719971,421450000
1995-06-15,896.330017,903.859985,896.330017,902.679993,902.679993,412280000
1995-06-16,904.369995,908.650024,904.140015,908.650024,908.650024,403210000
1995-06-19,909.900024,922.090027,909.840027,922.090027,922.090027,407000000
1995-06-20,924.109985,929.849976,924.010010,929.830017,929.830017,444490000
1995-06-21,931.609985,933.750000,926.000000,929.190002,929.190002,455280000
1995-06-22,941.169983,941.169983,931.260010,940.090027,940.090027,474080000
1995-06-23,938.650024,940.099976,936.729980,938.869995,938.869995,447260000
1995-06-26,938.330017,939.140015,926.789978,926.979980,926.979980,384980000
1995-06-27,925.190002,928.619995,918.890015,919.559998,919.559998,417490000
1995-06-28,918.080017,921.989990,913.020020,920.520020,920.520020,395320000
1995-06-29,921.039978,927.780029,919.880005,926.809998,926.809998,368600000
1995-06-30,928.020020,934.030029,928.020020,933.450012,933.450012,402140000
